model,dataset,attention,batch_size,epochs,lr,split,accuracy,precision,recall,balanced_accuracy,malignant_recall,f1,specificity,loss,macro_auc
mobilenetv2,all4,,32,2,0.001,train,0.9741,0.9701,0.9749,,,0.9724,0.9915,0.0323,
mobilenetv2,all4,,32,2,0.001,validation,0.9754,0.9707,0.9779,,,0.9739,0.992,0.0264,
mobilenetv2,all4,,32,2,0.001,test,0.9877,0.9837,0.9898,,,0.9865,0.9962,0.0196,
mobilenetv2,all4,,se,64,2,0.001,train,0.9548,0.9463,,,0.961,0.9519,0.9856,
mobilenetv2,all4,,se,64,2,0.001,validation,0.9815,0.9791,,,0.9847,0.9814,0.9939,
mobilenetv2,all4,,se,64,2,0.001,test,0.9734,0.9696,,,0.978,0.9729,0.9913,
mobilenetv2,all4,,cbam,64,2,0.001,train,0.9535,0.9446,,,0.9567,0.9492,0.9851,
mobilenetv2,all4,,cbam,64,2,0.001,validation,0.9733,0.9713,,,0.9762,0.9734,0.9911,
mobilenetv2,all4,,cbam,64,2,0.001,test,0.9796,0.9776,,,0.9799,0.9786,0.9932,
mobilenetv2,all4,,eca,32,2,0.001,train,0.9654,0.9607,,,0.9642,0.9623,0.9885,
mobilenetv2,all4,,eca,32,2,0.001,validation,0.9713,0.9695,,,0.9682,0.9688,0.9902,
mobilenetv2,all4,,eca,32,2,0.001,test,0.9734,0.973,,,0.9748,0.9736,0.991,
mobilenetv2,all4,,none,32,2,0.001,train,0.9346,0.9255,,,0.9391,0.9303,0.9789,
mobilenetv2,all4,,none,32,2,0.001,validation,0.9671,0.9626,,,0.9647,0.9636,0.9891,
mobilenetv2,all4,,none,32,2,0.001,test,0.9632,0.9606,,,0.9624,0.9612,0.9878,
vit_b16,all4,,none,32,100,0.0001,train,0.9996,0.9996,,,0.9993,0.9995,0.9998,
vit_b16,all4,,none,32,100,0.0001,validation,1.0,1.0,,,1.0,1.0,1.0,
vit_b16,all4,,none,32,100,0.0001,test,1.0,1.0,,,1.0,1.0,1.0,
resnet50,all4,,none,32,100,0.0001,train,0.9991,0.9989,,,0.9989,0.9989,0.9997,
resnet50,all4,,none,32,100,0.0001,validation,1.0,1.0,,,1.0,1.0,1.0,
resnet50,all4,,none,32,100,0.0001,test,1.0,1.0,,,1.0,1.0,1.0,
squeezenet1_1,all4,,none,32,100,0.0001,train,0.9917,0.9917,,,0.9898,0.9907,0.9971,
squeezenet1_1,all4,,none,32,100,0.0001,validation,0.9959,0.9946,,,0.995,0.9948,0.9987,
squeezenet1_1,all4,,none,32,100,0.0001,test,0.9918,0.9916,,,0.9916,0.9916,0.9972,
squeezenet1_1,all4,,cbam,32,100,0.0001,train,0.9925,0.992,,,0.9918,0.9919,0.9975,
squeezenet1_1,all4,,cbam,32,100,0.0001,validation,0.9959,0.995,,,0.9962,0.9956,0.9987,
squeezenet1_1,all4,,cbam,32,100,0.0001,test,0.9857,0.9837,,,0.9857,0.9846,0.9953,
efficientnet_b0,all4,,none,32,100,0.0001,train,0.9982,0.9981,,,0.9985,0.9983,0.9994,
efficientnet_b0,all4,,none,32,100,0.0001,validation,0.9979,0.9983,,,0.9979,0.9981,0.9993,
efficientnet_b0,all4,,none,32,100,0.0001,test,0.998,0.9968,,,0.9983,0.9975,0.9994,
moe_edf,all4,none,32,50,0.0001,train,0.9943,0.9942,0.9938,0.9938,,0.994,0.9981,0.2494,
moe_edf,all4,none,32,50,0.0001,validation,0.9856,0.9846,0.9848,0.9848,,0.9847,0.9952,0.2509,
moe_edf,all4,none,32,50,0.0001,test,0.9918,0.991,0.9915,0.9915,,0.9912,0.9973,0.2477,1.0
