model,batch_size,epochs,lr,split,accuracy,precision,recall,f1,specificity,loss
mobilenetv2,32,20,0.001,train,0.8657,0.8342,0.8631,0.8456,0.8631,0.3106
mobilenetv2,32,20,0.001,validation,0.896,0.8522,0.896,0.8699,0.896,0.2569
mobilenetv2,32,20,0.001,test,0.858,0.8173,0.8289,0.8227,0.8289,0.41
resnet50,32,30,0.0001,train,0.8354,0.8012,0.8309,0.8122,0.8309,0.3907
resnet50,32,30,0.0001,validation,0.862,0.8157,0.884,0.836,0.884,0.339
resnet50,32,30,0.0001,test,0.796,0.7533,0.8006,0.7656,0.8006,0.4305
resnet50,32,100,0.001,train,0.9977,0.997,0.9975,0.9973,0.9975,0.0074
resnet50,32,100,0.001,validation,0.94,0.9219,0.9173,0.9196,0.9173,0.4869
resnet50,32,100,0.001,test,0.88,0.8505,0.8404,0.8452,0.8404,0.8793
densenet121,32,50,0.001,train,0.908,0.883,0.9049,0.8926,0.9049,0.2318
densenet121,32,50,0.001,validation,0.914,0.8833,0.8893,0.8862,0.8893,0.281
densenet121,32,50,0.001,test,0.875,0.8409,0.8417,0.8413,0.8417,0.4238
densenet121,32,100,0.001,train,0.9123,0.9047,0.8806,0.8914,0.8806,0.2953
densenet121,32,100,0.001,validation,0.916,0.8947,0.8773,0.8855,0.8773,0.2636
densenet121,32,100,0.001,test,0.887,0.8684,0.8358,0.8499,0.8358,0.4318
efficientnet_b0,32,100,0.001,train,0.9923,0.9887,0.9928,0.9908,0.9928,0.0223
efficientnet_b0,32,100,0.001,validation,0.934,0.9187,0.9027,0.9103,0.9027,0.483
efficientnet_b0,32,100,0.001,test,0.877,0.8469,0.836,0.8412,0.836,0.8172
mobilenetv2,32,100,0.001,train,0.98,0.9726,0.9799,0.9761,0.9799,0.0489
mobilenetv2,32,100,0.001,validation,0.926,0.8963,0.9107,0.9031,0.9107,0.3082
mobilenetv2,32,100,0.001,test,0.877,0.8418,0.8489,0.8452,0.8489,0.5946
mobilenet_densenet_fusion,32,50,0.001,train,0.9003,0.8849,0.8721,0.8781,0.8721,0.0734
mobilenet_densenet_fusion,32,50,0.001,validation,0.936,0.9249,0.9013,0.9123,0.9013,0.0694
mobilenet_densenet_fusion,32,50,0.001,test,0.879,0.8548,0.8291,0.8406,0.8291,0.1261
